MaSo,MaTinhThanh,Ten,DonVi,EnglishName
664,67,Krông Nô,Huyện,KrongNo
665,67,Đắk Song,Huyện,DakSong
666,67,Đắk R Lấp ,Huyện,DakRLap
667,67,Tuy Đức,Huyện,TuyDuc
672,68,Đà Lạt,Thành phố,DaLat
673,68,Bảo Lộc,Thành phố,BaoLoc
674,68,Đam Rông,Huyện,DamRong
675,68,Lạc Dương,Huyện,LacDuong
676,68,Lâm Hà,Huyện,LamHa
677,68,Đơn Dương,Huyện,DonDuong
678,68,Đức Trọng,Huyện,DucTrong
679,68,Di Linh,Huyện,DiLinh
680,68,Bảo Lâm,Huyện,BaoLam
681,68,Đạ Huoai,Huyện,DaHuoai
682,68,Đạ Tẻh,Huyện,DaTeh
683,68,Cát Tiên,Huyện,CatTien
688,70,Phước Long,Thị xã,PhuocLong
689,70,Đồng Xoài,Thành phố,DongXoai
690,70,Bình Long,Thị xã,BinhLong
691,70,Bù Gia Mập,Huyện,BuGiaMap
692,70,Lộc Ninh,Huyện,LocNinh
693,70,Bù Đốp,Huyện,BuDop
694,70,Hớn Quản,Huyện,HonQuan
695,70,Đồng Phú,Huyện,DongPhu
696,70,Bù Đăng,Huyện,BuDang
697,70,Chơn Thành,Thị xã,ChonThanh
698,70,Phú Riềng,Huyện,PhuRieng
703,72,Tây Ninh,Thành phố,TayNinh
705,72,Tân Biên,Huyện,TanBien
706,72,Tân Châu,Huyện,TanChau
707,72,Dương Minh Châu,Huyện,DuongMinhChau
708,72,Châu Thành,Huyện,ChauThanh
709,72,Hòa Thành,Thị xã,HoaThanh
710,72,Gò Dầu,Huyện,GoDau
711,72,Bến Cầu,Huyện,BenCau
712,72,Trảng Bàng,Thị xã,TrangBang
718,74,Thủ Dầu Một,Thành phố,ThuDauMot
719,74,Bàu Bàng,Huyện,BauBang
720,74,Dầu Tiếng,Huyện,DauTieng
721,74,Bến Cát,Thành phố,BenCat
722,74,Phú Giáo,Huyện,PhuGiao
723,74,Tân Uyên,Thành phố,TanUyen
724,74,Dĩ An,Thành phố,DiAn
725,74,Thuận An,Thành phố,ThuanAn
726,74,Bắc Tân Uyên,Huyện,BacTanUyen
731,75,Biên Hòa,Thành phố,BienHoa
732,75,Long Khánh,Thành phố,LongKhanh
734,75,Tân Phú,Huyện,TanPhu
735,75,Vĩnh Cửu,Huyện,VinhCuu
736,75,Định Quán,Huyện,DinhQuan
737,75,Trảng Bom,Huyện,TrangBom
738,75,Thống Nhất,Huyện,ThongNhat
739,75,Cẩm Mỹ,Huyện,CamMy
740,75,Long Thành,Huyện,LongThanh
741,75,Xuân Lộc,Huyện,XuanLoc
742,75,Nhơn Trạch,Huyện,NhonTrach
747,77,Vũng Tàu,Thành phố,VungTau
748,77,Bà Rịa,Thành phố,BaRia
750,77,Châu Đức,Huyện,ChauDuc
751,77,Xuyên Mộc,Huyện,XuyenMoc
752,77,Long Điền,Huyện,LongDien
753,77,Đất Đỏ,Huyện,DatDo
754,77,Phú Mỹ,Thị xã,PhuMy
755,77,Côn Đảo,Huyện,ConDao
760,79,1,Quận,1
761,79,12,Quận,12
764,79,Gò Vấp,Quận,GoVap
765,79,Bình Thạnh,Quận,BinhThanh
766,79,Tân Bình,Quận,TanBinh
767,79,Tân Phú,Quận,TanPhu
768,79,Phú Nhuận,Quận,PhuNhuan
769,79,Thủ Đức,Thành phố,ThuDuc
770,79,3,Quận,3
771,79,10,Quận,10
772,79,11,Quận,11
773,79,4,Quận,4
774,79,5,Quận,5
775,79,6,Quận,6
776,79,8,Quận,8
